100-plants-margin/mds;[12, 0, 11, 2, 6, 5, 3, 9, 7, 1, 10, 4, 13, 14, 8]
100-plants-margin/spec2;[0, 2, 3, 6, 4, 7, 1, 5, 8, 12, 10, 11, 13, 14, 9]
100-plants-margin/spec3;[14, 0, 2, 4, 6, 3, 8, 1, 5, 9, 11, 7, 10, 12, 13]
100-plants-margin/tsne1;[0, 1, 4, 2, 9, 5, 3, 8, 6, 12, 7, 14, 10, 11, 13]
100-plants-margin/tsne2;[1, 3, 6, 10, 9, 11, 4, 2, 5, 7, 8, 0, 12, 14, 13]
100-plants-margin/tsne3;[9, 1, 4, 10, 0, 2, 3, 5, 6, 8, 7, 11, 14, 12, 13]
100-plants-margin/umap1;[11, 6, 3, 1, 4, 9, 5, 7, 12, 10, 13, 8, 0, 2, 14]
100-plants-margin/umap3;[7, 0, 4, 5, 6, 8, 1, 2, 12, 14, 10, 3, 13, 9, 11]
ada/pca;[4, 2, 0, 6, 9, 7, 10, 1, 8, 11, 12, 14, 13, 5, 3]
ada/spec2;[4, 3, 14, 11, 5, 0, 1, 2, 8, 6, 7, 10, 9, 12, 13]
ada/tsne1;[6, 3, 8, 1, 2, 9, 11, 10, 5, 14, 12, 4, 0, 13, 7]
ada/tsne2;[7, 6, 1, 3, 0, 12, 11, 2, 9, 14, 8, 10, 4, 13, 5]
ada/umap1;[10, 6, 0, 2, 1, 11, 4, 7, 3, 13, 12, 5, 8, 14, 9]
ailerons/mlle2;[8, 3, 14, 9, 12, 13, 2, 10, 1, 6, 11, 7, 5, 4, 0]
ailerons/pca;[12, 9, 3, 8, 5, 14, 10, 6, 4, 13, 7, 0, 11, 2, 1]
ailerons/spec2;[7, 5, 3, 6, 14, 8, 0, 2, 4, 9, 10, 12, 1, 11, 13]
ailerons/tsne1;[6, 5, 4, 13, 2, 7, 8, 3, 0, 12, 9, 11, 1, 10, 14]
ailerons/tsne3;[9, 1, 10, 2, 0, 5, 11, 4, 7, 6, 13, 8, 12, 14, 3]
ailerons/umap1;[3, 0, 10, 9, 1, 4, 12, 6, 5, 7, 2, 14, 8, 11, 13]
ailerons/umap3;[11, 12, 5, 4, 1, 9, 2, 0, 8, 14, 6, 7, 10, 3, 13]
annthyroid/mds;[11, 6, 0, 1, 13, 9, 3, 2, 8, 7, 4, 10, 5, 12, 14]
annthyroid/pca;[10, 3, 6, 4, 9, 12, 11, 5, 7, 2, 0, 8, 13, 14, 1]
bank-marketing/mlle1;[13, 0, 3, 11, 8, 1, 4, 10, 5, 2, 6, 7, 12, 14, 9]
bank-marketing/spec2;[14, 9, 11, 5, 1, 3, 8, 2, 0, 6, 7, 4, 10, 12, 13]
bank-marketing/spec3;[13, 12, 5, 3, 2, 9, 8, 6, 11, 0, 10, 7, 4, 14, 1]
bank-marketing/tsne1;[2, 3, 1, 6, 13, 0, 5, 7, 10, 11, 4, 12, 8, 14, 9]
bank-marketing/tsne2;[8, 11, 5, 3, 10, 1, 0, 2, 7, 6, 12, 13, 9, 4, 14]
bank-marketing/tsne3;[12, 14, 6, 3, 1, 4, 7, 0, 2, 8, 10, 11, 5, 9, 13]
bank-marketing/umap1;[9, 1, 2, 10, 3, 12, 6, 11, 7, 5, 14, 13, 4, 8, 0]
bank-marketing/umap3;[0, 1, 4, 6, 5, 3, 10, 13, 12, 11, 7, 2, 14, 9, 8]
bank8FM/mlle2;[7, 14, 4, 5, 11, 6, 0, 2, 13, 1, 3, 8, 12, 9, 10]
bank8FM/pca;[2, 0, 10, 13, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14]
bank8FM/spec3;[14, 8, 5, 12, 10, 1, 11, 7, 3, 2, 9, 6, 13, 4, 0]
bank8FM/tsne1;[14, 10, 5, 1, 3, 13, 0, 4, 11, 6, 12, 2, 8, 9, 7]
bank8FM/tsne3;[8, 1, 12, 14, 3, 13, 10, 0, 9, 5, 4, 7, 11, 2, 6]
