100-plants-margin/mds;[0, 12, 3, 2, 11, 6, 5, 7, 8, 1, 10, 9, 14, 4, 13]
100-plants-margin/spec2;[7, 4, 8, 2, 9, 1, 3, 0, 11, 10, 12, 6, 14, 13, 5]
100-plants-margin/spec3;[2, 14, 0, 11, 9, 4, 10, 5, 8, 6, 13, 7, 12, 1, 3]
100-plants-margin/tsne1;[2, 8, 14, 10, 13, 6, 9, 1, 4, 0, 3, 5, 12, 7, 11]
100-plants-margin/tsne2;[1, 3, 5, 6, 9, 11, 12, 4, 10, 2, 7, 0, 14, 8, 13]
100-plants-margin/tsne3;[0, 2, 4, 5, 1, 9, 3, 7, 10, 6, 8, 11, 12, 14, 13]
100-plants-margin/umap1;[6, 4, 11, 0, 1, 9, 3, 14, 5, 7, 8, 2, 12, 13, 10]
100-plants-margin/umap3;[7, 8, 0, 4, 6, 10, 1, 12, 5, 3, 2, 9, 14, 11, 13]
ada/pca;[2, 7, 0, 9, 1, 5, 13, 3, 6, 8, 4, 10, 11, 12, 14]
ada/spec2;[8, 3, 0, 1, 2, 4, 5, 7, 6, 10, 9, 11, 13, 12, 14]
ada/tsne1;[3, 0, 4, 7, 6, 9, 1, 2, 8, 12, 5, 11, 10, 13, 14]
ada/tsne2;[11, 13, 8, 7, 6, 2, 0, 5, 4, 1, 9, 3, 10, 14, 12]
ada/umap1;[10, 0, 2, 4, 1, 3, 5, 6, 13, 12, 11, 7, 8, 14, 9]
ailerons/mlle2;[3, 2, 0, 1, 4, 5, 8, 14, 9, 12, 13, 10, 7, 6, 11]
ailerons/pca;[12, 9, 3, 8, 10, 6, 0, 7, 11, 4, 5, 1, 13, 14, 2]
ailerons/spec2;[5, 9, 11, 12, 10, 13, 4, 8, 3, 2, 0, 1, 14, 7, 6]
ailerons/tsne1;[9, 8, 12, 0, 1, 2, 3, 6, 10, 14, 11, 4, 7, 13, 5]
ailerons/tsne3;[10, 9, 0, 12, 13, 1, 2, 3, 4, 14, 8, 6, 5, 7, 11]
ailerons/umap1;[11, 2, 7, 14, 0, 5, 6, 12, 4, 9, 10, 8, 3, 1, 13]
ailerons/umap3;[11, 1, 3, 7, 4, 14, 12, 5, 0, 13, 2, 10, 6, 8, 9]
annthyroid/mds;[11, 13, 4, 0, 1, 6, 5, 10, 12, 7, 9, 3, 2, 8, 14]
